_id,bgColor,createdAt,deleted,order,removedBy,slug,status,title,updatedAt,userId,workspaceId
thbkaWpkEs7P5JZRY,"rgb(244,198,179)",2018-09-06T22:25:17.257Z,true,0,,---,public,,2018-09-06T22:25:31.378Z,tLWzZ8LERecHBEYfi,LCRss7udHuczYx65E
bMXQQnKnGPh8piYkK,"rgb(169,47,62)",2018-09-06T22:25:18.587Z,true,1,,---,public,,2018-09-06T22:25:24.299Z,tLWzZ8LERecHBEYfi,LCRss7udHuczYx65E
xh2DgqbkEs2Jt4mZa,"rgb(117,74,32)",2018-09-06T22:25:19.837Z,true,2,,---,public,,2018-09-06T22:25:28.482Z,tLWzZ8LERecHBEYfi,LCRss7udHuczYx65E
vp6dWhP4zyo9ks9Lz,"rgba(4,144,247,1)",2018-09-06T23:33:46.131Z,false,0,,about-me,public,About me,2018-11-16T00:46:35.081Z,8nDDuSkJHBZuXp8Mf,qMvJuk48atWs86Z2P
P3KrsG63tKkn2wTbb,"rgb(56,197,212)",2018-09-06T23:53:36.590Z,false,4,,reading-reflections-week-1,public,Reading Reflections Week 1,2018-11-16T00:46:35.094Z,8nDDuSkJHBZuXp8Mf,qMvJuk48atWs86Z2P
6twL4pDdAjfd37XG5,"rgb(54,119,244)",2018-09-07T00:20:35.480Z,false,0,,about-me,public,About me,2018-11-26T23:05:28.382Z,KaR4ZSQb52qi78HoP,Sr2xZgPwr439ZZYYA
zsWvzcePcWvFeo54o,"rgb(44,173,209)",2018-09-07T01:50:00.587Z,true,0,kjJYniGziGmt245X8,about-me,public,About me,2018-11-14T05:47:50.766Z,KzoNyARq9Ck6xHWQw,kjJYniGziGmt245X8
yHEWdoYre6gRh9Qjf,"rgba(119,66,137,1)",2018-09-07T02:01:10.612Z,false,4,,first-project,public,First Project,2018-11-26T20:28:29.890Z,YRMr5ejhtpqiEcoaL,CfPWoJwMZZZhzd5R4
xbgzCR66cr8m35a5P,"rgba(65,117,5,1)",2018-09-07T02:41:04.688Z,false,0,,about-me,public,About Me,2018-09-07T02:44:22.126Z,kkLmXoFfnTqPXgGq6,NYcwSLypaMk2qbCcA
wZXauv3ip9F2djWLQ,"rgba(252,104,116,1)",2018-09-07T02:53:10.053Z,false,8,,list-of-student-rhizrs,public,List of Student Rhizrs,2018-11-17T13:01:05.927Z,sHzT6ngX98NEDhAP8,WgyfgPKf84bgXbrCZ
r6PtHK9xMBRG3d38x,"rgba(195,161,45,1)",2018-09-07T04:29:06.367Z,false,0,,about-me,public,About Me,2018-11-26T20:28:29.733Z,YRMr5ejhtpqiEcoaL,CfPWoJwMZZZhzd5R4
b2KyN2rNSvoAiDwGY,"rgba(234,95,169,1)",2018-09-07T07:52:45.123Z,false,4,,about-me,public,About Me,2018-11-20T03:23:06.441Z,H5EqdPANk2h4N7tTp,4RNqmFgiNjomeMAd2
bAcC3vXyS8pzByquv,"rgba(22,193,169,1)",2018-09-07T07:54:00.284Z,false,0,,first-project,public,First Project,2018-11-20T03:23:06.299Z,H5EqdPANk2h4N7tTp,4RNqmFgiNjomeMAd2
Pkq6x8sfoA84rK9nR,"rgba(207,145,198,1)",2018-09-07T07:55:02.443Z,true,2,,91418-assignments,public,9.14.18 Assignments,2018-10-06T03:21:10.936Z,H5EqdPANk2h4N7tTp,4RNqmFgiNjomeMAd2
y4EYp4FzXFLjfknLy,"rgba(222,4,133,1)",2018-09-07T07:55:38.046Z,true,3,,92018-assignments,public,9.20.18 Assignments,2018-10-06T03:22:16.039Z,H5EqdPANk2h4N7tTp,4RNqmFgiNjomeMAd2
DQ4meMyg3vbKNEFZv,"rgb(113,22,19)",2018-09-07T08:36:19.555Z,false,0,,about-me,public,About Me,2018-11-28T22:02:06.170Z,vQSXe2zz7G4khsgmu,ybLMPkKBpg9ihrXd6
oqD36ES6S7i4DtMnh,"rgb(156,181,184)",2018-09-07T08:36:49.396Z,false,4,,first-project-921,public,First Project (9.21),2018-11-28T22:02:06.367Z,vQSXe2zz7G4khsgmu,ybLMPkKBpg9ihrXd6
6eonEu9wpfnmaX7Gj,"rgba(76,59,103,1)",2018-09-07T12:36:11.648Z,false,1,,week-i-reflection,public,Week I - Reflection,2018-09-07T12:40:56.075Z,67z4z89Xw5B495oD2,CS24onTq4r34Kn7Q4
3EyinQtPASaHYWwNr,"rgb(42,60,48)",2018-09-07T14:30:17.990Z,true,1,,---,public,,2018-09-07T14:31:57.842Z,sHzT6ngX98NEDhAP8,WgyfgPKf84bgXbrCZ
CzjXjqNoPP6QtfrFz,"rgba(21,156,216,1)",2018-09-07T14:30:20.734Z,false,0,,course-announcements,public,Course Announcements,2018-11-17T13:01:05.387Z,sHzT6ngX98NEDhAP8,WgyfgPKf84bgXbrCZ
8AjnCs6CNZgz7gj2k,"rgba(72,2,186,1)",2018-09-07T18:01:31.501Z,false,0,,my-video-bio,public,My Video Bio,2018-09-15T02:50:53.014Z,FhS9YCt3SwFWcefMG,wGZESDkt4YciirXbs
Cvrq3XPdR8Fvnd72a,"rgba(127,163,87,1)",2018-09-07T19:12:36.218Z,true,1,,week1-reflections,public,Week1-Reflections,2018-10-13T03:52:14.666Z,ZyBb5SwtnGSy45fyD,LQpqBPKL2FXWjgR7v
hmmcSh4HBiQrGoiJW,"rgba(26,130,53,1)",2018-09-07T19:41:27.018Z,false,1,,p1-reading-reflection,public,P1 - Reading Reflection,2018-09-26T16:19:59.838Z,tLWzZ8LERecHBEYfi,LCRss7udHuczYx65E
TmZnqQkmycRGahFrQ,"rgb(197,177,116)",2018-09-07T19:48:15.493Z,false,0,,something-about-me,public,Something about me...,2018-09-26T16:19:59.826Z,tLWzZ8LERecHBEYfi,LCRss7udHuczYx65E
v9RqN8vjReySSHv94,"rgb(95,207,213)",2018-09-07T22:01:19.257Z,true,0,,juye-wang,public,Juye Wang,2018-09-07T22:03:45.598Z,aaYcLwTazjj3DHDgb,4rWq54uPxJJpfDxMB
gdPy6xHzjnD879q5C,"rgb(30,250,94)",2018-09-07T22:05:15.626Z,false,0,,about-me,public,About Me,2018-11-15T21:56:00.645Z,aaYcLwTazjj3DHDgb,4rWq54uPxJJpfDxMB
d4pa577GpZ95JA8Yk,"rgb(145,77,198)",2018-09-07T22:07:51.868Z,true,2,,mini-project,public,Mini-Project,2018-09-11T21:36:34.498Z,BMgHziq68YQHjyHS8,fb7GPmHRgnwMfXXqf
3Qfmo295b4LDwrGvt,"rgb(201,8,222)",2018-09-07T22:08:32.936Z,false,6,,assignments,public,Assignments,2018-09-07T22:19:24.080Z,BMgHziq68YQHjyHS8,fb7GPmHRgnwMfXXqf
TJN4E869McSFyjuLT,"rgb(219,190,41)",2018-09-07T22:08:47.478Z,false,0,,about-me,public,About Me,2018-09-07T22:19:22.818Z,BMgHziq68YQHjyHS8,fb7GPmHRgnwMfXXqf
QaZthtLRChggTbKmw,"rgb(148,151,64)",2018-09-08T03:04:51.047Z,false,0,,abdul-abad-vialogues-bio,public,Abdul Abad Vialogues Bio,2018-11-08T13:55:32.247Z,FHnjbB9kuE8yrcaiE,W6xf8ypDtqjRzPGZP
GtXRZqdzTQdaSs3Tw,"rgb(19,31,84)",2018-09-08T05:10:46.424Z,false,1,,9718-assignments,public,9.7.18 Assignments,2018-11-08T13:55:32.630Z,FHnjbB9kuE8yrcaiE,W6xf8ypDtqjRzPGZP
SZmX2e6cXLp7Ds6Mk,"rgb(34,139,101)",2018-09-08T05:11:30.382Z,true,2,,,public,,2018-09-08T05:34:47.713Z,FHnjbB9kuE8yrcaiE,W6xf8ypDtqjRzPGZP
BDNxqxZaLuoCJJkp3,"rgb(117,131,247)",2018-09-08T17:57:57.849Z,false,15,,project-1-active-reading,public,Project 1: Active Reading,2018-11-15T21:56:01.310Z,aaYcLwTazjj3DHDgb,4rWq54uPxJJpfDxMB
7cj6NC8AozogWoqTu,"rgb(44,136,32)",2018-09-09T05:32:20.224Z,false,0,,hi-all-,public,Hi All !,2018-11-10T01:57:54.420Z,4EMMkd4vtihTuEZ9o,gQvtZmLcpiBooDrCg
CWZ7JkZQXcLktAmJR,"rgba(246,209,72,1)",2018-09-09T14:51:21.716Z,false,0,,about-me,public,about me,2018-09-09T15:19:31.402Z,rMbP9kSwdw3Q87Fa7,u8ccEetDJbpFnM8cS
cQGZeuFhfnb33MAn8,"rgba(94,152,214,1)",2018-09-09T14:51:28.889Z,false,1,,about-design-thinking,public,about design thinking,2018-09-16T22:36:17.087Z,rMbP9kSwdw3Q87Fa7,u8ccEetDJbpFnM8cS
7FXFb4xBsf7bAoxiL,"rgb(163,128,126)",2018-09-09T15:11:42.097Z,true,2,,---,public,,2018-09-09T15:12:11.476Z,rMbP9kSwdw3Q87Fa7,u8ccEetDJbpFnM8cS
hQdsE7tQCZQZGdCkg,"rgb(55,213,82)",2018-09-09T15:15:36.069Z,true,2,,,public,,2018-09-09T15:16:56.576Z,rMbP9kSwdw3Q87Fa7,u8ccEetDJbpFnM8cS
